SN,Owner,Release,EDI,EdiName,FG,Level,Posn,LoopID,SAbbrv,SegName,Req,Arr,Max,Rpt,Description,Remarks,URL
23,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,160.0,0200 (Shipment Status),Q7,Lading Exception Code,Optional,->,10.0,,To specify the status of the shipment in terms of lading exception information,,https://www.stedi.com/edi/x12-004010/214
24,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,170.0,0200 (Shipment Status),K1,Remarks,Optional,->,10.0,,To transmit information in a free-form format for comment or special instruction,,https://www.stedi.com/edi/x12-004010/214
25,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,180.0,0200 (Shipment Status),AT5,Bill of Lading Handling Requirements,Optional,->,10.0,,To identify Bill of Lading handling and service requirements,,https://www.stedi.com/edi/x12-004010/214
26,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,200.0,0200 (Shipment Status),AT8,"Shipment Weight, Packaging and Quantity Data",Optional,->,10.0,,"To specify shipment details in terms of weight, and quantity of handling units",,https://www.stedi.com/edi/x12-004010/214
27,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,,0210 (Carton/Package Detail),------,Detailed tracking for specific packages.,Optional,,,999999,,,https://www.stedi.com/edi/x12-004010/214
28,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,210.0,0210 (Carton/Package Detail),CD3,Carton (Package) Detail,Mandatory,->,1.0,,"To transmit identifying codes, weights, and other related information related to an individual carton (package)","Loops 0210, 0215 and 0220 shall be used in conjunction with loop 0200 to convey status for small package carrier shipments.",https://www.stedi.com/edi/x12-004010/214
29,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,220.0,0210 (Carton/Package Detail),L11,Business Instructions and Reference Number,Optional,->,20.0,,To specify instructions in this business relationship or a reference number,,https://www.stedi.com/edi/x12-004010/214
30,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,,0215,------,Provides status specifically for the individual carton rather than the whole shipmen,Optional,,,10,,,https://www.stedi.com/edi/x12-004010/214
31,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,230.0,0215,AT7,Shipment Status Details,Mandatory,->,1.0,,"To specify the status of a shipment, the reason for that status, the date and time of the status and the date and time of any appointments scheduled.",,https://www.stedi.com/edi/x12-004010/214
32,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,233.0,0215,MS1,"Equipment, Shipment, or Real Property Location",Optional,->,1.0,,"To specify the location of a piece of equipment, a shipment, or real property in terms of city and state or longitude and latitude",,https://www.stedi.com/edi/x12-004010/214
33,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,236.0,0215,MS2,Equipment or Container Owner and Type,Optional,->,1.0,,"To specify the owner, the identification number assigned by that owner, and the type of equipment",,https://www.stedi.com/edi/x12-004010/214
34,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,240.0,0210 (Carton/Package Detail),NM1,Individual or Organizational Name,Optional,->,1.0,,To supply the full name of an individual or organizational entity,,https://www.stedi.com/edi/x12-004010/214
35,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,250.0,0210 (Carton/Package Detail),Q7,Lading Exception Code,Optional,->,10.0,,To specify the status of the shipment in terms of lading exception information,,https://www.stedi.com/edi/x12-004010/214
36,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,260.0,0210 (Carton/Package Detail),AT8,"Shipment Weight, Packaging and Quantity Data",Optional,->,1.0,,"To specify shipment details in terms of weight, and quantity of handling units",,https://www.stedi.com/edi/x12-004010/214
37,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,265.0,0210 (Carton/Package Detail),MAN,Marks and Numbers,Optional,->,9999.0,,To indicate identifying marks and numbers for shipping containers,,https://www.stedi.com/edi/x12-004010/214
38,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,,0220 (Carton Party Identification),------,Same as the 0100 loop but localized to the package level),Optional,,,999999,,,https://www.stedi.com/edi/x12-004010/214
39,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,270.0,0220 (Carton Party Identification),N1,Name,Mandatory,->,1.0,,"To identify a party by type of organization, name, and code",,https://www.stedi.com/edi/x12-004010/214
40,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,280.0,0220 (Carton Party Identification),N2,Additional Name Information,Optional,->,1.0,,To specify additional names or those longer than 35 characters in length,,https://www.stedi.com/edi/x12-004010/214
41,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,290.0,0220 (Carton Party Identification),N3,Address Information,Optional,->,3.0,,To specify the location of the named party,,https://www.stedi.com/edi/x12-004010/214
42,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,300.0,0220 (Carton Party Identification),N4,Geographic Location,Optional,->,1.0,,To specify the geographic place of the named party,,https://www.stedi.com/edi/x12-004010/214
43,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,310.0,0220 (Carton Party Identification),L11,Business Instructions and Reference Number,Optional,->,10.0,,To specify instructions in this business relationship or a reference number,,https://www.stedi.com/edi/x12-004010/214
44,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,,0230,------,,Optional,,,999999,,,https://www.stedi.com/edi/x12-004010/214
45,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,320.0,0230,PRF,Purchase Order Reference,Mandatory,->,1.0,,To provide reference to a specific purchase order,,https://www.stedi.com/edi/x12-004010/214
46,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,,0231,------,,Optional,,,999999,,,https://www.stedi.com/edi/x12-004010/214
47,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,330.0,0231,N1,Name,Mandatory,->,1.0,,"To identify a party by type of organization, name, and code",,https://www.stedi.com/edi/x12-004010/214
48,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,340.0,0231,N2,Additional Name Information,Optional,->,1.0,,To specify additional names or those longer than 35 characters in length,,https://www.stedi.com/edi/x12-004010/214
49,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,350.0,0231,N3,Address Information,Optional,->,2.0,,To specify the location of the named party,,https://www.stedi.com/edi/x12-004010/214
50,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,360.0,0231,N4,Geographic Location,Optional,->,1.0,,To specify the geographic place of the named party,,https://www.stedi.com/edi/x12-004010/214
51,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,370.0,0231,L11,Business Instructions and Reference Number,Optional,->,10.0,,To specify instructions in this business relationship or a reference number,,https://www.stedi.com/edi/x12-004010/214
52,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,,0233,------,,Optional,,,999999,,,https://www.stedi.com/edi/x12-004010/214
53,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,380.0,0233,CD3,Carton (Package) Detail,Mandatory,->,1.0,,"To transmit identifying codes, weights, and other related information related to an individual carton (package)",,https://www.stedi.com/edi/x12-004010/214
54,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,390.0,0233,L11,Business Instructions and Reference Number,Optional,->,20.0,,To specify instructions in this business relationship or a reference number,,https://www.stedi.com/edi/x12-004010/214
55,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,,0240,------,,Optional,,,10,,,https://www.stedi.com/edi/x12-004010/214
56,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,400.0,0240,AT7,Shipment Status Details,Mandatory,->,1.0,,"To specify the status of a shipment, the reason for that status, the date and time of the status and the date and time of any appointments scheduled.",,https://www.stedi.com/edi/x12-004010/214
57,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,402.0,0240,MS1,"Equipment, Shipment, or Real Property Location",Optional,->,1.0,,"To specify the location of a piece of equipment, a shipment, or real property in terms of city and state or longitude and latitude",,https://www.stedi.com/edi/x12-004010/214
58,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,404.0,0240,MS2,Equipment or Container Owner and Type,Optional,->,1.0,,"To specify the owner, the identification number assigned by that owner, and the type of equipment",,https://www.stedi.com/edi/x12-004010/214
59,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,405.0,0233,MAN,Marks and Numbers,Optional,->,9999.0,,To indicate identifying marks and numbers for shipping containers,,https://www.stedi.com/edi/x12-004010/214
60,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,,0250,------,,Optional,,,999999,,,https://www.stedi.com/edi/x12-004010/214
61,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,410.0,0250,SPO,Shipment Purchase Order Detail,Mandatory,->,1.0,,To specify the purchase order details for a shipment,,https://www.stedi.com/edi/x12-004010/214
62,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,420.0,0250,SDQ,Destination Quantity,Optional,->,10.0,,To specify destination and quantity detail,,https://www.stedi.com/edi/x12-004010/214
63,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,,0260,------,,Optional,,,>1,,,https://www.stedi.com/edi/x12-004010/214
64,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,423.0,0260,EFI,Electronic Format Identification,Mandatory,->,1.0,,To provide basic information about the electronic format of the interchange data,,https://www.stedi.com/edi/x12-004010/214
65,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,426.0,0260,BIN,Binary Data,Mandatory,->,1.0,,To transfer binary data in a single data segment and allow identification of the end of the data segment through a count; there is no identification of the internal structure of the binary data in this segment,,https://www.stedi.com/edi/x12-004010/214
66,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,610.0,,SE,Transaction Set Trailer,Mandatory,->,1.0,,To indicate the end of the transaction set and provide the count of the transmitted segments (including the beginning (ST) and ending (SE) segments),,https://www.stedi.com/edi/x12-004010/214
1,X12,4010,315,Status Details (Ocean),QO,Heading,10.0,,ST,Transaction Set Header,Mandatory,->,1.0,,To indicate the start of a transaction set and to assign a control number,,https://www.stedi.com/edi/x12-004010/315
2,X12,4010,315,Status Details (Ocean),QO,Heading,20.0,,B4,Beginning Segment for Inquiry or Reply,Mandatory,->,1.0,,"To transmit identifying numbers, dates, and other basic data relating to the transaction set",,https://www.stedi.com/edi/x12-004010/315
3,X12,4010,315,Status Details (Ocean),QO,Heading,30.0,,N9,Reference Identification,Optional,->,30.0,,To transmit identifying information as specified by the Reference Identification Qualifier,,https://www.stedi.com/edi/x12-004010/315
4,X12,4010,315,Status Details (Ocean),QO,Heading,40.0,,Q2,Status Details (Ocean),Optional,->,1.0,,"To transmit identifying information relative to identification of vessel, transportation dates, lading quantity, weight, and cube",,https://www.stedi.com/edi/x12-004010/315
5,X12,4010,315,Status Details (Ocean),QO,Heading,50.0,,SG,Shipment Status,Optional,->,15.0,,To convey the status of a shipment,,https://www.stedi.com/edi/x12-004010/315
6,X12,4010,315,Status Details (Ocean),QO,Heading,,R4 (Port/Location),,Port/Location,Mandatory,,,20.0,,,https://www.stedi.com/edi/x12-004010/315
7,X12,4010,315,Status Details (Ocean),QO,Heading,60.0,R4 (Port/Location),R4,Port or Terminal,Mandatory,->,1.0,,Contractual or operational port or point relevant to the movement of the cargo,,https://www.stedi.com/edi/x12-004010/315
8,X12,4010,315,Status Details (Ocean),QO,Heading,70.0,R4 (Port/Location),DTM,Date/Time Reference,Optional,->,15.0,,To specify pertinent dates and times,,https://www.stedi.com/edi/x12-004010/315
9,X12,4010,315,Status Details (Ocean),QO,Heading,80.0,,V9,Event Detail,Optional,->,10.0,,To specify information about a specific event,,https://www.stedi.com/edi/x12-004010/315
10,X12,4010,315,Status Details (Ocean),QO,Heading,90.0,,SE,Transaction Set Trailer,Mandatory,->,1.0,,To indicate the end of the transaction set and provide the count of the transmitted segments (including the beginning (ST) and ending (SE) segments),,https://www.stedi.com/edi/x12-004010/315
1,X12,4010,511,Requisition,RN,Heading,10.0,,ST,Transaction Set Header,Mandatory,->,1,,To indicate the start of a transaction set and to assign a control number,,https://www.stedi.com/edi/x12-004010/511
2,X12,4010,511,Requisition,RN,Heading,20.0,,BR,Beginning Segment for Material Management,Mandatory,->,1,,To indicate the beginning of a material management transaction and transmit identifying numbers and dates,,https://www.stedi.com/edi/x12-004010/511
3,X12,4010,511,Requisition,RN,Heading,30.0,,G62,Date/Time,Optional,->,10,,To specify pertinent dates and times,,https://www.stedi.com/edi/x12-004010/511
4,X12,4010,511,Requisition,RN,Heading,40.0,,NTE,Note/Special Instruction,Optional,->,10,,"To transmit information in a free-form format, if necessary, for comment or special instruction",,https://www.stedi.com/edi/x12-004010/511
5,X12,4010,511,Requisition,RN,Heading,,LM-Message Loop (0500),,,Optional,,,50,,,https://www.stedi.com/edi/x12-004010/511
6,X12,4010,511,Requisition,RN,Heading,50.0,LM-Message Loop (0500),LM,Code Source Information,Mandatory,->,1,,To transmit standard code list identification information,The LM loop identifies logistic data common to the entire transaction set.,https://www.stedi.com/edi/x12-004010/511
7,X12,4010,511,Requisition,RN,Heading,60.0,LM-Message Loop (0500),LQ,Industry Code,Mandatory,->,100,,Code to transmit standard industry codes,,https://www.stedi.com/edi/x12-004010/511
8,X12,4010,511,Requisition,RN,Heading,,N1-Party identification(0700),,,Mandatory,,,20,,,https://www.stedi.com/edi/x12-004010/511
9,X12,4010,511,Requisition,RN,Heading,70.0,N1-Party identification(0700),N1,Name,Mandatory,->,1,,"To identify a party by type of organization, name, and code",The N1 loop identifies name and or address information common to the entire transaction set.,https://www.stedi.com/edi/x12-004010/511
10,X12,4010,511,Requisition,RN,Heading,80.0,N1-Party identification(0700),N2,Additional Name Information,Optional,->,2,,To specify additional names or those longer than 35 characters in length,,https://www.stedi.com/edi/x12-004010/511
11,X12,4010,511,Requisition,RN,Heading,90.0,N1-Party identification(0700),N3,Address Information,Optional,->,2,,To specify the location of the named party,,https://www.stedi.com/edi/x12-004010/511
12,X12,4010,511,Requisition,RN,Heading,100.0,N1-Party identification(0700),N4,Geographic Location,Optional,->,1,,To specify the geographic place of the named party,,https://www.stedi.com/edi/x12-004010/511
13,X12,4010,511,Requisition,RN,Heading,110.0,N1-Party identification(0700),G61,Contact,Optional,->,5,,To identify a person or office to whom communications should be directed,Detail,https://www.stedi.com/edi/x12-004010/511
14,X12,4010,511,Requisition,RN,Detail,,LX-Order Detail Loop (1000),,,Optional,,,>1,,,https://www.stedi.com/edi/x12-004010/511
15,X12,4010,511,Requisition,RN,Detail,10.0,LX-Order Detail Loop (1000),LX,Assigned Number,Mandatory,->,1,,To reference a line number in a transaction set,,https://www.stedi.com/edi/x12-004010/511
16,X12,4010,511,Requisition,RN,Detail,20.0,LX-Order Detail Loop (1000),N9,Reference Identification,Mandatory,->,>1,,To transmit identifying information as specified by the Reference Identification Qualifier,,https://www.stedi.com/edi/x12-004010/511
17,X12,4010,511,Requisition,RN,Detail,30.0,LX-Order Detail Loop (1000),PO1,Baseline Item Data,Optional,->,>1,,To specify basic and most frequently used line item data,,https://www.stedi.com/edi/x12-004010/511
18,X12,4010,511,Requisition,RN,Detail,50.0,LX-Order Detail Loop (1000),PWK,Paperwork,Optional,->,1,,To identify the type or transmission or both of paperwork or supporting information,,https://www.stedi.com/edi/x12-004010/511
19,X12,4010,511,Requisition,RN,Detail,60.0,LX-Order Detail Loop (1000),DD,Demand Detail,Optional,->,100,,To describe the type of demand and the intended use of material,,https://www.stedi.com/edi/x12-004010/511
20,X12,4010,511,Requisition,RN,Detail,70.0,LX-Order Detail Loop (1000),GF,Furnished Goods and Services,Optional,->,1,,"To specify information related to furnished material, equipment, property, information, and services",,https://www.stedi.com/edi/x12-004010/511
21,X12,4010,511,Requisition,RN,Detail,80.0,LX-Order Detail Loop (1000),G62,Date/Time,Optional,->,20,,To specify pertinent dates and times,,https://www.stedi.com/edi/x12-004010/511
22,X12,4010,511,Requisition,RN,Detail,90.0,LX-Order Detail Loop (1000),MAN,Marks and Numbers,Optional,->,5,,To indicate identifying marks and numbers for shipping containers,,https://www.stedi.com/edi/x12-004010/511
23,X12,4010,511,Requisition,RN,Detail,100.0,LX-Order Detail Loop (1000),LIN,Item Identification,Optional,->,>1,,To specify basic item identification data,,https://www.stedi.com/edi/x12-004010/511
24,X12,4010,511,Requisition,RN,Detail,105.0,LX-Order Detail Loop (1000),MEA,Measurements,Optional,->,>1,,"To specify physical measurements or counts, including dimensions, tolerances, variances, and weights (See Figures Appendix for example of use of C001)",,https://www.stedi.com/edi/x12-004010/511
25,X12,4010,511,Requisition,RN,Detail,110.0,LX-Order Detail Loop (1000),G69,Line Item Detail - Description,Optional,->,>1,,To describe an item in free-form format,,https://www.stedi.com/edi/x12-004010/511
26,X12,4010,511,Requisition,RN,Detail,120.0,LX-Order Detail Loop (1000),NTE,Note/Special Instruction,Optional,->,>1,,"To transmit information in a free-form format, if necessary, for comment or special instruction",,https://www.stedi.com/edi/x12-004010/511
27,X12,4010,511,Requisition,RN,Detail,,LX LM Loop (1300),,,Optional,,,50,,,https://www.stedi.com/edi/x12-004010/511
28,X12,4010,511,Requisition,RN,Detail,130.0,LX LM Loop (1300),LM,Code Source Information,Mandatory,->,1,,To transmit standard code list identification information,,https://www.stedi.com/edi/x12-004010/511
29,X12,4010,511,Requisition,RN,Detail,140.0,LX LM Loop (1300),LQ,Industry Code,Mandatory,->,100,,Code to transmit standard industry codes,,https://www.stedi.com/edi/x12-004010/511
30,X12,4010,511,Requisition,RN,Detail,,QTY Loop (1400),,,Optional,,,>1,,,https://www.stedi.com/edi/x12-004010/511
31,X12,4010,511,Requisition,RN,Detail,150.0,QTY Loop (1400),QTY,Quantity,Mandatory,->,1,,To specify quantity information,Each iteration of the QTY loop qualifies a portion of the total quantity ordered with particular logistics information codes.,https://www.stedi.com/edi/x12-004010/511
32,X12,4010,511,Requisition,RN,Detail,,QTY LM Loop (Loop 1500),,,Optional,,,50,,,https://www.stedi.com/edi/x12-004010/511
33,X12,4010,511,Requisition,RN,Detail,160.0,QTY LM Loop (Loop 1500),LM,Code Source Information,Mandatory,->,1,,To transmit standard code list identification information,,https://www.stedi.com/edi/x12-004010/511
34,X12,4010,511,Requisition,RN,Detail,170.0,QTY LM Loop (Loop 1500),LQ,Industry Code,Mandatory,->,100,,Code to transmit standard industry codes,,https://www.stedi.com/edi/x12-004010/511
35,X12,4010,511,Requisition,RN,Detail,,N1-Detail (1800),,,Optional,,,100,,,https://www.stedi.com/edi/x12-004010/511
36,X12,4010,511,Requisition,RN,Detail,180.0,N1-Detail (1800),N1,Name,Mandatory,->,1,,"To identify a party by type of organization, name, and code",The N1 loop identifies the name and address information unique to each use of the LX loop.,https://www.stedi.com/edi/x12-004010/511
37,X12,4010,511,Requisition,RN,Detail,190.0,N1-Detail (1800),N2,Additional Name Information,Optional,->,2,,To specify additional names or those longer than 35 characters in length,,https://www.stedi.com/edi/x12-004010/511
38,X12,4010,511,Requisition,RN,Detail,200.0,N1-Detail (1800),N3,Address Information,Optional,->,2,,To specify the location of the named party,,https://www.stedi.com/edi/x12-004010/511
39,X12,4010,511,Requisition,RN,Detail,210.0,N1-Detail (1800),N4,Geographic Location,Optional,->,1,,To specify the geographic place of the named party,,https://www.stedi.com/edi/x12-004010/511
40,X12,4010,511,Requisition,RN,Detail,215.0,N1-Detail (1800),G61,Contact,Optional,->,5,,To identify a person or office to whom communications should be directed,,https://www.stedi.com/edi/x12-004010/511
41,X12,4010,511,Requisition,RN,Detail,,REF,,,Optional,,,>1,,,https://www.stedi.com/edi/x12-004010/511
42,X12,4010,511,Requisition,RN,Detail,220.0,REF,REF,Reference Identification,Mandatory,->,1,,To specify identifying information,The REF loop conveys serial and lot number inventory data.,https://www.stedi.com/edi/x12-004010/511
43,X12,4010,511,Requisition,RN,Detail,230.0,REF,G62,Date/Time,Optional,->,10,,To specify pertinent dates and times,,https://www.stedi.com/edi/x12-004010/511
44,X12,4010,511,Requisition,RN,Detail,240.0,REF,N9,Reference Identification,Optional,->,>1,,To transmit identifying information as specified by the Reference Identification Qualifier,,https://www.stedi.com/edi/x12-004010/511
45,X12,4010,511,Requisition,RN,Detail,250.0,REF,N1,Name,Optional,->,1,,"To identify a party by type of organization, name, and code",,https://www.stedi.com/edi/x12-004010/511
46,X12,4010,511,Requisition,RN,Detail,260.0,REF,R4,Port or Terminal,Optional,->,1,,Contractual or operational port or point relevant to the movement of the cargo,,https://www.stedi.com/edi/x12-004010/511
47,X12,4010,511,Requisition,RN,Detail,,LM-04,,,Optional,,,50,,,https://www.stedi.com/edi/x12-004010/511
48,X12,4010,511,Requisition,RN,Detail,270.0,LM-04,LM,Code Source Information,Mandatory,->,1,,To transmit standard code list identification information,,https://www.stedi.com/edi/x12-004010/511
49,X12,4010,511,Requisition,RN,Detail,280.0,LM-04,LQ,Industry Code,Mandatory,->,100,,Code to transmit standard industry codes,,https://www.stedi.com/edi/x12-004010/511
50,X12,4010,511,Requisition,RN,Detail,,FA1,,,Optional,,,>1,,,https://www.stedi.com/edi/x12-004010/511
51,X12,4010,511,Requisition,RN,Detail,285.0,FA1,FA1,Type of Financial Accounting Data,Mandatory,->,1,,"To specify the organization controlling the content of the accounting citation, and the purpose associated with the accounting citation",,https://www.stedi.com/edi/x12-004010/511
52,X12,4010,511,Requisition,RN,Detail,286.0,FA1,FA2,Accounting Data,Mandatory,->,>1,,To specify the detailed accounting data,,https://www.stedi.com/edi/x12-004010/511
53,X12,4010,511,Requisition,RN,Detail,290.0,,SE,Transaction Set Trailer,Mandatory,->,1,,To indicate the end of the transaction set and provide the count of the transmitted segments (including the beginning (ST) and ending (SE) segments),,https://www.stedi.com/edi/x12-004010/511
