SN,Owner,Release,EDI,EdiName,FG,Level,Posn,LoopID,SAbbrv,SegName,Req,Arr,Max,Rpt,Description,Remarks,URL
23,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,160.0,0200 (Shipment Status),Q7,Lading Exception Code,Optional,->,10.0,,To specify the status of the shipment in terms of lading exception information,,https://www.stedi.com/edi/x12-004010/214
24,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,170.0,0200 (Shipment Status),K1,Remarks,Optional,->,10.0,,To transmit information in a free-form format for comment or special instruction,,https://www.stedi.com/edi/x12-004010/214
25,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,180.0,0200 (Shipment Status),AT5,Bill of Lading Handling Requirements,Optional,->,10.0,,To identify Bill of Lading handling and service requirements,,https://www.stedi.com/edi/x12-004010/214
26,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,200.0,0200 (Shipment Status),AT8,"Shipment Weight, Packaging and Quantity Data",Optional,->,10.0,,"To specify shipment details in terms of weight, and quantity of handling units",,https://www.stedi.com/edi/x12-004010/214
27,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,,0210 (Carton/Package Detail),------,Detailed tracking for specific packages.,Optional,,,999999,,,https://www.stedi.com/edi/x12-004010/214
28,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,210.0,0210 (Carton/Package Detail),CD3,Carton (Package) Detail,Mandatory,->,1.0,,"To transmit identifying codes, weights, and other related information related to an individual carton (package)","Loops 0210, 0215 and 0220 shall be used in conjunction with loop 0200 to convey status for small package carrier shipments.",https://www.stedi.com/edi/x12-004010/214
29,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,220.0,0210 (Carton/Package Detail),L11,Business Instructions and Reference Number,Optional,->,20.0,,To specify instructions in this business relationship or a reference number,,https://www.stedi.com/edi/x12-004010/214
30,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,,0215,------,Provides status specifically for the individual carton rather than the whole shipmen,Optional,,,10,,,https://www.stedi.com/edi/x12-004010/214
31,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,230.0,0215,AT7,Shipment Status Details,Mandatory,->,1.0,,"To specify the status of a shipment, the reason for that status, the date and time of the status and the date and time of any appointments scheduled.",,https://www.stedi.com/edi/x12-004010/214
32,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,233.0,0215,MS1,"Equipment, Shipment, or Real Property Location",Optional,->,1.0,,"To specify the location of a piece of equipment, a shipment, or real property in terms of city and state or longitude and latitude",,https://www.stedi.com/edi/x12-004010/214
33,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,236.0,0215,MS2,Equipment or Container Owner and Type,Optional,->,1.0,,"To specify the owner, the identification number assigned by that owner, and the type of equipment",,https://www.stedi.com/edi/x12-004010/214
34,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,240.0,0210 (Carton/Package Detail),NM1,Individual or Organizational Name,Optional,->,1.0,,To supply the full name of an individual or organizational entity,,https://www.stedi.com/edi/x12-004010/214
35,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,250.0,0210 (Carton/Package Detail),Q7,Lading Exception Code,Optional,->,10.0,,To specify the status of the shipment in terms of lading exception information,,https://www.stedi.com/edi/x12-004010/214
36,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,260.0,0210 (Carton/Package Detail),AT8,"Shipment Weight, Packaging and Quantity Data",Optional,->,1.0,,"To specify shipment details in terms of weight, and quantity of handling units",,https://www.stedi.com/edi/x12-004010/214
37,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,265.0,0210 (Carton/Package Detail),MAN,Marks and Numbers,Optional,->,9999.0,,To indicate identifying marks and numbers for shipping containers,,https://www.stedi.com/edi/x12-004010/214
38,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,,0220 (Carton Party Identification),------,Same as the 0100 loop but localized to the package level),Optional,,,999999,,,https://www.stedi.com/edi/x12-004010/214
39,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,270.0,0220 (Carton Party Identification),N1,Name,Mandatory,->,1.0,,"To identify a party by type of organization, name, and code",,https://www.stedi.com/edi/x12-004010/214
40,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,280.0,0220 (Carton Party Identification),N2,Additional Name Information,Optional,->,1.0,,To specify additional names or those longer than 35 characters in length,,https://www.stedi.com/edi/x12-004010/214
41,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,290.0,0220 (Carton Party Identification),N3,Address Information,Optional,->,3.0,,To specify the location of the named party,,https://www.stedi.com/edi/x12-004010/214
42,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,300.0,0220 (Carton Party Identification),N4,Geographic Location,Optional,->,1.0,,To specify the geographic place of the named party,,https://www.stedi.com/edi/x12-004010/214
43,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,310.0,0220 (Carton Party Identification),L11,Business Instructions and Reference Number,Optional,->,10.0,,To specify instructions in this business relationship or a reference number,,https://www.stedi.com/edi/x12-004010/214
44,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,,0230,------,,Optional,,,999999,,,https://www.stedi.com/edi/x12-004010/214
45,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,320.0,0230,PRF,Purchase Order Reference,Mandatory,->,1.0,,To provide reference to a specific purchase order,,https://www.stedi.com/edi/x12-004010/214
46,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,,0231,------,,Optional,,,999999,,,https://www.stedi.com/edi/x12-004010/214
47,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,330.0,0231,N1,Name,Mandatory,->,1.0,,"To identify a party by type of organization, name, and code",,https://www.stedi.com/edi/x12-004010/214
48,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,340.0,0231,N2,Additional Name Information,Optional,->,1.0,,To specify additional names or those longer than 35 characters in length,,https://www.stedi.com/edi/x12-004010/214
49,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,350.0,0231,N3,Address Information,Optional,->,2.0,,To specify the location of the named party,,https://www.stedi.com/edi/x12-004010/214
50,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,360.0,0231,N4,Geographic Location,Optional,->,1.0,,To specify the geographic place of the named party,,https://www.stedi.com/edi/x12-004010/214
51,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,370.0,0231,L11,Business Instructions and Reference Number,Optional,->,10.0,,To specify instructions in this business relationship or a reference number,,https://www.stedi.com/edi/x12-004010/214
52,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,,0233,------,,Optional,,,999999,,,https://www.stedi.com/edi/x12-004010/214
53,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,380.0,0233,CD3,Carton (Package) Detail,Mandatory,->,1.0,,"To transmit identifying codes, weights, and other related information related to an individual carton (package)",,https://www.stedi.com/edi/x12-004010/214
54,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,390.0,0233,L11,Business Instructions and Reference Number,Optional,->,20.0,,To specify instructions in this business relationship or a reference number,,https://www.stedi.com/edi/x12-004010/214
55,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,,0240,------,,Optional,,,10,,,https://www.stedi.com/edi/x12-004010/214
56,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,400.0,0240,AT7,Shipment Status Details,Mandatory,->,1.0,,"To specify the status of a shipment, the reason for that status, the date and time of the status and the date and time of any appointments scheduled.",,https://www.stedi.com/edi/x12-004010/214
57,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,402.0,0240,MS1,"Equipment, Shipment, or Real Property Location",Optional,->,1.0,,"To specify the location of a piece of equipment, a shipment, or real property in terms of city and state or longitude and latitude",,https://www.stedi.com/edi/x12-004010/214
58,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,404.0,0240,MS2,Equipment or Container Owner and Type,Optional,->,1.0,,"To specify the owner, the identification number assigned by that owner, and the type of equipment",,https://www.stedi.com/edi/x12-004010/214
59,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,405.0,0233,MAN,Marks and Numbers,Optional,->,9999.0,,To indicate identifying marks and numbers for shipping containers,,https://www.stedi.com/edi/x12-004010/214
60,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,,0250,------,,Optional,,,999999,,,https://www.stedi.com/edi/x12-004010/214
61,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,410.0,0250,SPO,Shipment Purchase Order Detail,Mandatory,->,1.0,,To specify the purchase order details for a shipment,,https://www.stedi.com/edi/x12-004010/214
62,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,420.0,0250,SDQ,Destination Quantity,Optional,->,10.0,,To specify destination and quantity detail,,https://www.stedi.com/edi/x12-004010/214
63,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,,0260,------,,Optional,,,>1,,,https://www.stedi.com/edi/x12-004010/214
64,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,423.0,0260,EFI,Electronic Format Identification,Mandatory,->,1.0,,To provide basic information about the electronic format of the interchange data,,https://www.stedi.com/edi/x12-004010/214
65,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,426.0,0260,BIN,Binary Data,Mandatory,->,1.0,,To transfer binary data in a single data segment and allow identification of the end of the data segment through a count; there is no identification of the internal structure of the binary data in this segment,,https://www.stedi.com/edi/x12-004010/214
66,X12,4010,214,Transportation Carrier Shipment Status Message,QM,Heading,610.0,,SE,Transaction Set Trailer,Mandatory,->,1.0,,To indicate the end of the transaction set and provide the count of the transmitted segments (including the beginning (ST) and ending (SE) segments),,https://www.stedi.com/edi/x12-004010/214
