Position,Element,Name,Type,Requirement,Min,Max,Repeat,Notes,Remarks,Codes,URL
LIN-01,350,Assigned Identification,String (AN),Optional,1.0,20,-,Alphanumeric characters assigned for differentiation within a transaction set,LIN01 is the line item identification,,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-02,235,Product/Service ID Qualifier,Identifier (ID),Mandatory,2.0,2,-,Code identifying the type/source of the descriptive number used in Product/Service ID (234),"LIN02 through LIN31 provide for fifteen different product/service IDs for each item. For example: Case, Color, Drawing No., U.P.C. No., ISBN No., Model No., or SKU.",477.0,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-03,234,Product/Service ID,String (AN),Mandatory,1.0,48,-,Identifying number for a product or service,,,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-04,235,Product/Service ID Qualifier,Identifier (ID),Conditional,2.0,2,-,Code identifying the type/source of the descriptive number used in Product/Service ID (234),"P0405: If either LIN-04 or LIN-05 is present, then the other is required",477.0,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-05,234,Product/Service ID,String (AN),Conditional,1.0,48,-,Identifying number for a product or service,,,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-06,235,Product/Service ID Qualifier,Identifier (ID),Conditional,2.0,2,-,Code identifying the type/source of the descriptive number used in Product/Service ID (234),"P0607: If either LIN-06 or LIN-07 is present, then the other is required",477.0,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-07,234,Product/Service ID,String (AN),Conditional,1.0,48,-,Identifying number for a product or service,,,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-08,235,Product/Service ID Qualifier,Identifier (ID),Conditional,2.0,2,-,Code identifying the type/source of the descriptive number used in Product/Service ID (234),"P0809: If either LIN-08 or LIN-09 is present, then the other is required",477.0,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-09,234,Product/Service ID,String (AN),Conditional,1.0,48,-,Identifying number for a product or service,,,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-10,235,Product/Service ID Qualifier,Identifier (ID),Conditional,2.0,2,-,Code identifying the type/source of the descriptive number used in Product/Service ID (234),"P1011: If either LIN-10 or LIN-11 is present, then the other is required",477.0,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-11,234,Product/Service ID,String (AN),Conditional,1.0,48,-,Identifying number for a product or service,,,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-12,235,Product/Service ID Qualifier,Identifier (ID),Conditional,2.0,2,-,Code identifying the type/source of the descriptive number used in Product/Service ID (234),"P1213: If either LIN-12 or LIN-13 is present, then the other is required",477.0,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-13,234,Product/Service ID,String (AN),Conditional,1.0,48,-,Identifying number for a product or service,,,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-14,235,Product/Service ID Qualifier,Identifier (ID),Conditional,2.0,2,-,Code identifying the type/source of the descriptive number used in Product/Service ID (234),"P1415: If either LIN-14 or LIN-15 is present, then the other is required",477.0,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-15,234,Product/Service ID,String (AN),Conditional,1.0,48,-,Identifying number for a product or service,,,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-16,235,Product/Service ID Qualifier,Identifier (ID),Conditional,2.0,2,-,Code identifying the type/source of the descriptive number used in Product/Service ID (234),"P1617: If either LIN-16 or LIN-17 is present, then the other is required",477.0,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-17,234,Product/Service ID,String (AN),Conditional,1.0,48,-,Identifying number for a product or service,,,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-18,235,Product/Service ID Qualifier,Identifier (ID),Conditional,2.0,2,-,Code identifying the type/source of the descriptive number used in Product/Service ID (234),"P1819: If either LIN-18 or LIN-19 is present, then the other is required",477.0,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-19,234,Product/Service ID,String (AN),Conditional,1.0,48,-,Identifying number for a product or service,,,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-20,235,Product/Service ID Qualifier,Identifier (ID),Conditional,2.0,2,-,Code identifying the type/source of the descriptive number used in Product/Service ID (234),"P2021: If either LIN-20 or LIN-21 is present, then the other is required",477.0,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-21,234,Product/Service ID,String (AN),Conditional,1.0,48,-,Identifying number for a product or service,,,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-22,235,Product/Service ID Qualifier,Identifier (ID),Conditional,2.0,2,-,Code identifying the type/source of the descriptive number used in Product/Service ID (234),"P2223: If either LIN-22 or LIN-23 is present, then the other is required",477.0,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-23,234,Product/Service ID,String (AN),Conditional,1.0,48,-,Identifying number for a product or service,,,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-24,235,Product/Service ID Qualifier,Identifier (ID),Conditional,2.0,2,-,Code identifying the type/source of the descriptive number used in Product/Service ID (234),"P2425: If either LIN-24 or LIN-25 is present, then the other is required",477.0,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-25,234,Product/Service ID,String (AN),Conditional,1.0,48,-,Identifying number for a product or service,,,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-26,235,Product/Service ID Qualifier,Identifier (ID),Conditional,2.0,2,-,Code identifying the type/source of the descriptive number used in Product/Service ID (234),"P2627: If either LIN-26 or LIN-27 is present, then the other is required",477.0,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-27,234,Product/Service ID,String (AN),Conditional,1.0,48,-,Identifying number for a product or service,,,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-28,235,Product/Service ID Qualifier,Identifier (ID),Conditional,2.0,2,-,Code identifying the type/source of the descriptive number used in Product/Service ID (234),"P2829: If either LIN-28 or LIN-29 is present, then the other is required",477.0,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-29,234,Product/Service ID,String (AN),Conditional,1.0,48,-,Identifying number for a product or service,,,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-30,235,Product/Service ID Qualifier,Identifier (ID),Conditional,2.0,2,-,Code identifying the type/source of the descriptive number used in Product/Service ID (234),"P3031: If either LIN-30 or LIN-31 is present, then the other is required",477.0,https://www.stedi.com/edi/x12-004010/segment/LIN
LIN-31,234,Product/Service ID,String (AN),Conditional,1.0,48,-,Identifying number for a product or service,,,https://www.stedi.com/edi/x12-004010/segment/LIN
GS-01,479,Functional Identifier Code,Identifier (ID),Mandatory,2.0,2,-,Code identifying a group of application related transaction sets,,234.0,https://www.stedi.com/edi/x12-004010/segment/GS
GS-02,142,Application Sender's Code,String (AN),Mandatory,2.0,15,-,Code identifying party sending transmission; codes agreed to by trading partners,,,https://www.stedi.com/edi/x12-004010/segment/GS
GS-03,124,Application Receiver's Code,String (AN),Mandatory,2.0,15,-,Code identifying party receiving transmission. Codes agreed to by trading partners,,,https://www.stedi.com/edi/x12-004010/segment/GS
GS-04,373,Date,Date (DT),Mandatory,8.0,8,-,Date expressed as CCYYMMDD,GS04 is the group date.,,https://www.stedi.com/edi/x12-004010/segment/GS
GS-05,337,Time,Time (TM),Mandatory,4.0,8,-,"Time expressed in 24-hour clock time as follows: HHMM, or HHMMSS, or HHMMSSD, or HHMMSSDD, where H = hours (00-23), M = minutes (00-59), S = integer seconds (00-59) and DD = decimal seconds; decimal seconds are expressed as follows: D = tenths (0-9) and DD = hundredths (00-99)",GS05 is the group time.,,https://www.stedi.com/edi/x12-004010/segment/GS
GS-06,28,Group Control Number,Numeric (N0),Mandatory,1.0,9,-,Assigned number originated and maintained by the sender,"The data interchange control number GS06 in this header must be identical to the same data element in the associated functional group trailer, GE02.",,https://www.stedi.com/edi/x12-004010/segment/GS
GS-07,455,Responsible Agency Code,Identifier (ID),Mandatory,1.0,2,-,Code used in conjunction with Data Element 480 to identify the issuer of the standard,,2.0,https://www.stedi.com/edi/x12-004010/segment/GS
GS-08,480,Version / Release / Industry Identifier Code,String (AN),Mandatory,1.0,12,-,"Code indicating the version, release, subrelease, and industry identifier of the EDI standard being used, including the GS and GE segments; if code in DE455 in GS segment is X, then in DE 480 positions 1-3 are the version number; positions 4-6 are the release and subrelease, level of the version; and positions 7-12 are the industry or trade association identifiers (optionally assigned by user); if code in DE455 in GS segment is T, then other formats are allowed",,36.0,https://www.stedi.com/edi/x12-004010/segment/GS
MEA-01,737,Measurement Reference ID Code,Identifier (ID),Optional,2.0,2.0,-,Code identifying the broad category to which a measurement applies,,152.0,https://www.stedi.com/edi/x12-004010/segment/MEA
MEA-02,738,Measurement Qualifier,Identifier (ID),Optional,1.0,3.0,-,Code identifying a specific product or process characteristic to which a measurement applies,,920.0,https://www.stedi.com/edi/x12-004010/segment/MEA
MEA-03,739,Measurement Value,Decimal number (R),Conditional,1.0,20.0,-,The value of the measurement,"R03050608: At least one of MEA-03, MEA-05, MEA-06 or MEA-08 is required",,https://www.stedi.com/edi/x12-004010/segment/MEA
MEA-04,C001,Composite Unit of Measure,Composite (composite),Conditional,,,,,,,https://www.stedi.com/edi/x12-004010/segment/MEA
01,355,Unit or Basis for Measurement Code,Identifier (ID),Mandatory,2.0,2.0,-,"Code specifying the units in which a value is being expressed, or manner in which a measurement has been taken",,794.0,https://www.stedi.com/edi/x12-004010/segment/MEA
02,1018,Exponent,Decimal number (R),Optional,1.0,15.0,-,Power to which a unit is raised,"If C001-02 is not used, its value is to be interpreted as 1.",,https://www.stedi.com/edi/x12-004010/segment/MEA
03,649,Multiplier,Decimal number (R),Optional,1.0,10.0,-,Value to be used as a multiplier to obtain a new value,"If C001-03 is not used, its value is to be interpreted as 1.",,https://www.stedi.com/edi/x12-004010/segment/MEA
04,355,Unit or Basis for Measurement Code,Identifier (ID),Optional,2.0,2.0,-,"Code specifying the units in which a value is being expressed, or manner in which a measurement has been taken",,794.0,https://www.stedi.com/edi/x12-004010/segment/MEA
05,1018,Exponent,Decimal number (R),Optional,1.0,15.0,-,Power to which a unit is raised,"If C001-05 is not used, its value is to be interpreted as 1.",,https://www.stedi.com/edi/x12-004010/segment/MEA
06,649,Multiplier,Decimal number (R),Optional,1.0,10.0,-,Value to be used as a multiplier to obtain a new value,"If C001-06 is not used, its value is to be interpreted as 1.",,https://www.stedi.com/edi/x12-004010/segment/MEA
07,355,Unit or Basis for Measurement Code,Identifier (ID),Optional,2.0,2.0,-,"Code specifying the units in which a value is being expressed, or manner in which a measurement has been taken",,794.0,https://www.stedi.com/edi/x12-004010/segment/MEA
08,1018,Exponent,Decimal number (R),Optional,1.0,15.0,-,Power to which a unit is raised,"If C001-08 is not used, its value is to be interpreted as 1.",,https://www.stedi.com/edi/x12-004010/segment/MEA
09,649,Multiplier,Decimal number (R),Optional,1.0,10.0,-,Value to be used as a multiplier to obtain a new value,"If C001-09 is not used, its value is to be interpreted as 1.",,https://www.stedi.com/edi/x12-004010/segment/MEA
10,355,Unit or Basis for Measurement Code,Identifier (ID),Optional,2.0,2.0,-,"Code specifying the units in which a value is being expressed, or manner in which a measurement has been taken",,794.0,https://www.stedi.com/edi/x12-004010/segment/MEA
11,1018,Exponent,Decimal number (R),Optional,1.0,15.0,-,Power to which a unit is raised,"If C001-11 is not used, its value is to be interpreted as 1.",,https://www.stedi.com/edi/x12-004010/segment/MEA
12,649,Multiplier,Decimal number (R),Optional,1.0,10.0,-,Value to be used as a multiplier to obtain a new value,"If C001-12 is not used, its value is to be interpreted as 1.",,https://www.stedi.com/edi/x12-004010/segment/MEA
13,355,Unit or Basis for Measurement Code,Identifier (ID),Optional,2.0,2.0,-,"Code specifying the units in which a value is being expressed, or manner in which a measurement has been taken",,794.0,https://www.stedi.com/edi/x12-004010/segment/MEA
14,1018,Exponent,Decimal number (R),Optional,1.0,15.0,-,Power to which a unit is raised,"If C001-14 is not used, its value is to be interpreted as 1.",,https://www.stedi.com/edi/x12-004010/segment/MEA
15,649,Multiplier,Decimal number (R),Optional,1.0,10.0,-,Value to be used as a multiplier to obtain a new value,"If C001-15 is not used, its value is to be interpreted as 1.",,https://www.stedi.com/edi/x12-004010/segment/MEA
MEA-05,740,Range Minimum,Decimal number (R),Conditional,1.0,20.0,-,The value specifying the minimum of the measurement range,"C0504: If MEA-05 is present, then MEA-04 is required
When citing dimensional tolerances, any measurement requiring a sign (+ or -), or any measurement where a positive (+) value cannot be assumed, use MEA05 as the negative (-) value and MEA06 as the positive (+) value.",,https://www.stedi.com/edi/x12-004010/segment/MEA
MEA-06,741,Range Maximum,Decimal number (R),Conditional,1.0,20.0,-,The value specifying the maximum of the measurement range,"C0604: If MEA-06 is present, then MEA-04 is required",,https://www.stedi.com/edi/x12-004010/segment/MEA
MEA-07,935,Measurement Significance Code,Identifier (ID),Optional,2.0,2.0,-,"Code used to benchmark, qualify or further define a measurement value","L07030506: If MEA-07 is present, then at least one of MEA-03, MEA-05 or MEA-06 is required",96.0,https://www.stedi.com/edi/x12-004010/segment/MEA
MEA-08,936,Measurement Attribute Code,Identifier (ID),Conditional,2.0,2.0,-,Code used to express an attribute response when a numeric measurement value cannot be determined,E0803: Only one of MEA-08 or MEA-03 may be present,45.0,https://www.stedi.com/edi/x12-004010/segment/MEA
MEA-09,752,Surface/Layer/Position Code,Identifier (ID),Optional,2.0,2.0,-,"Code indicating the product surface, layer or position that is being described",,101.0,https://www.stedi.com/edi/x12-004010/segment/MEA
MEA-10,1373,Measurement Method or Device,Identifier (ID),Optional,2.0,4.0,-,The method or device used to record the measurement,,12.0,https://www.stedi.com/edi/x12-004010/segment/MEA
PRF-01,324,Purchase Order Number,String (AN),Mandatory,1.0,22,-,Identifying number for Purchase Order assigned by the orderer/purchaser,,,https://www.stedi.com/edi/x12-004010/segment/PRF
PRF-02,328,Release Number,String (AN),Optional,1.0,30,-,Number identifying a release against a Purchase Order previously placed by the parties involved in the transaction,,,https://www.stedi.com/edi/x12-004010/segment/PRF
PRF-03,327,Change Order Sequence Number,String (AN),Optional,1.0,8,-,Number assigned by the orderer identifying a specific change or revision to a previously transmitted transaction set,,,https://www.stedi.com/edi/x12-004010/segment/PRF
PRF-04,373,Date,Date (DT),Optional,8.0,8,-,Date expressed as CCYYMMDD,PRF04 is the date assigned by the purchaser to purchase order.,,https://www.stedi.com/edi/x12-004010/segment/PRF
PRF-05,350,Assigned Identification,String (AN),Optional,1.0,20,-,Alphanumeric characters assigned for differentiation within a transaction set,,,https://www.stedi.com/edi/x12-004010/segment/PRF
PRF-06,367,Contract Number,String (AN),Optional,1.0,30,-,Contract number,,,https://www.stedi.com/edi/x12-004010/segment/PRF
PRF-07,92,Purchase Order Type Code,Identifier (ID),Optional,2.0,2,-,Code specifying the type of Purchase Order,,69.0,https://www.stedi.com/edi/x12-004010/segment/PRF
FA1-01,559,Agency Qualifier Code,Identifier (ID),Mandatory,2.0,2,-,Code identifying the agency assigning the code values,FA101 Identifies the organization controlling the assignment of financial accounting information.,176.0,https://www.stedi.com/edi/x12-004010/segment/FA1
FA1-02,1300,"Service, Promotion, Allowance, or Charge Code",Identifier (ID),Optional,4.0,4,-,"Code identifying the service, promotion, allowance, or charge",FA102 Identifies the purpose of the accounting allowance or charge information.,1053.0,https://www.stedi.com/edi/x12-004010/segment/FA1
FA1-03,248,Allowance or Charge Indicator,Identifier (ID),Optional,1.0,1,-,Code which indicates an allowance or charge for the service specified,,7.0,https://www.stedi.com/edi/x12-004010/segment/FA1
BIN-01,784,Length of Binary Data,Numeric (N0),Mandatory,1.0,15,-,The length in integral octets of the binary data,,,https://www.stedi.com/edi/x12-004010/segment/BIN
BIN-02,785,Binary Data,Binary (B),Mandatory,1.0,∞,-,A string of octets which can assume any binary pattern from hexadecimal 00 to FF,,,https://www.stedi.com/edi/x12-004010/segment/BIN
SPO-01,324,Purchase Order Number,String (AN),Mandatory,1.0,22,-,Identifying number for Purchase Order assigned by the orderer/purchaser,,,https://www.stedi.com/edi/x12-004010/segment/SPO
SPO-02,127,Reference Identification,String (AN),Optional,1.0,30,-,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,SPO02 is the department number.,,https://www.stedi.com/edi/x12-004010/segment/SPO
SPO-03,355,Unit or Basis for Measurement Code,Identifier (ID),Conditional,2.0,2,-,"Code specifying the units in which a value is being expressed, or manner in which a measurement has been taken","P0304: If either SPO-03 or SPO-04 is present, then the other is required",794.0,https://www.stedi.com/edi/x12-004010/segment/SPO
SPO-04,380,Quantity,Decimal number (R),Conditional,1.0,15,-,Numeric value of quantity,SPO04 is the total quantity for the purchase order.,,https://www.stedi.com/edi/x12-004010/segment/SPO
SPO-05,188,Weight Unit Code,Identifier (ID),Conditional,1.0,1,-,Code specifying the weight unit,"P0506: If either SPO-05 or SPO-06 is present, then the other is required",8.0,https://www.stedi.com/edi/x12-004010/segment/SPO
SPO-06,81,Weight,Decimal number (R),Conditional,1.0,10,-,Numeric value of weight,SPO06 is the total weight for the purchase order.,,https://www.stedi.com/edi/x12-004010/segment/SPO
SPO-07,647,Application Error Condition Code,Identifier (ID),Optional,1.0,3,-,Code indicating application error condition,SPO07 indicates the data error condition relative to the shipment management information.,162.0,https://www.stedi.com/edi/x12-004010/segment/SPO
SPO-08,127,Reference Identification,String (AN),Optional,1.0,30,-,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,SPO08 is used to specify sorting and/or segregating reference numbers for each receiving location (processing area).,,https://www.stedi.com/edi/x12-004010/segment/SPO
IEA-01,I16,Number of Included Functional Groups,Numeric (N0),Mandatory,1.0,5,-,A count of the number of functional groups included in an interchange,,,https://www.stedi.com/edi/x12-004010/segment/IEA
IEA-02,I12,Interchange Control Number,Numeric (N0),Mandatory,9.0,9,-,A control number assigned by the interchange sender,,,https://www.stedi.com/edi/x12-004010/segment/IEA
N1-01,98,Entity Identifier Code,Identifier (ID),Mandatory,2.0,3,-,"Code identifying an organizational entity, a physical location, property or an individual",,1312.0,https://www.stedi.com/edi/x12-004010/segment/N1
N1-02,93,Name,String (AN),Conditional,1.0,60,-,Free-form name,R0203: At least one of N1-02 or N1-03 is required,,https://www.stedi.com/edi/x12-004010/segment/N1
N1-03,66,Identification Code Qualifier,Identifier (ID),Conditional,1.0,2,-,Code designating the system/method of code structure used for Identification Code (67),"P0304: If either N1-03 or N1-04 is present, then the other is required",215.0,https://www.stedi.com/edi/x12-004010/segment/N1
N1-04,67,Identification Code,String (AN),Conditional,2.0,80,-,Code identifying a party or other code,"This segment, used alone, provides the most efficient method of providing organizational identification. To obtain this efficiency the ""ID Code"" (N104) must provide a key to the table maintained by the transaction processing party.",,https://www.stedi.com/edi/x12-004010/segment/N1
N1-05,706,Entity Relationship Code,Identifier (ID),Optional,2.0,2,-,Code describing entity relationship,N105 and N106 further define the type of entity in N101.,96.0,https://www.stedi.com/edi/x12-004010/segment/N1
N1-06,98,Entity Identifier Code,Identifier (ID),Optional,2.0,3,-,"Code identifying an organizational entity, a physical location, property or an individual",,1312.0,https://www.stedi.com/edi/x12-004010/segment/N1
CD3-01,187,Weight Qualifier,Identifier (ID),Conditional,1.0,2,-,Code defining the type of weight,"P0102: If either CD3-01 or CD3-02 is present, then the other is required",51.0,https://www.stedi.com/edi/x12-004010/segment/CD3
CD3-02,81,Weight,Decimal number (R),Conditional,1.0,10,-,Numeric value of weight,,,https://www.stedi.com/edi/x12-004010/segment/CD3
CD3-03,619,Zone,String (AN),Optional,2.0,3,-,To identify zone,,,https://www.stedi.com/edi/x12-004010/segment/CD3
CD3-04,34,Service Standard,Numeric (N1),Optional,1.0,4,-,To report the time period of carrier's standard service for the shipment,,,https://www.stedi.com/edi/x12-004010/segment/CD3
CD3-05,284,Service Level Code,Identifier (ID),Conditional,2.0,2,-,Code indicating the level of transportation service or the billing service offered by the transportation carrier,,66.0,https://www.stedi.com/edi/x12-004010/segment/CD3
CD3-06,108,Pick-up or Delivery Code,Identifier (ID),Optional,1.0,2,-,Specifies the location or type of pickup or delivery,,32.0,https://www.stedi.com/edi/x12-004010/segment/CD3
CD3-07,122,Rate/Value Qualifier,Identifier (ID),Conditional,2.0,2,-,Code qualifying how to extend charges or interpret value,"P0708: If either CD3-07 or CD3-08 is present, then the other is required",163.0,https://www.stedi.com/edi/x12-004010/segment/CD3
CD3-08,58,Charge,Numeric (N2),Conditional,1.0,12,-,For a line item: freight or special charge; for the total invoice: the total charges -- expressed in the standard monetary denomination for the currency specified,CD308 is the charge for the single package.,,https://www.stedi.com/edi/x12-004010/segment/CD3
CD3-09,122,Rate/Value Qualifier,Identifier (ID),Conditional,2.0,2,-,Code qualifying how to extend charges or interpret value,"P0910: If either CD3-09 or CD3-10 is present, then the other is required",163.0,https://www.stedi.com/edi/x12-004010/segment/CD3
CD3-10,58,Charge,Numeric (N2),Conditional,1.0,12,-,For a line item: freight or special charge; for the total invoice: the total charges -- expressed in the standard monetary denomination for the currency specified,CD310 is the total charge for all of the packages.,,https://www.stedi.com/edi/x12-004010/segment/CD3
CD3-11,284,Service Level Code,Identifier (ID),Conditional,2.0,2,-,Code indicating the level of transportation service or the billing service offered by the transportation carrier,"C1105: If CD3-11 is present, then CD3-05 is required",66.0,https://www.stedi.com/edi/x12-004010/segment/CD3
CD3-12,284,Service Level Code,Identifier (ID),Optional,2.0,2,-,Code indicating the level of transportation service or the billing service offered by the transportation carrier,"C1211: If CD3-12 is present, then CD3-11 is required",66.0,https://www.stedi.com/edi/x12-004010/segment/CD3
CD3-13,591,Payment Method Code,Identifier (ID),Optional,3.0,3,-,Code identifying the method for the movement of payment instructions,,54.0,https://www.stedi.com/edi/x12-004010/segment/CD3
CD3-14,26,Country Code,Identifier (ID),Optional,2.0,3,-,Code identifying the country,"C1405: If CD3-14 is present, then CD3-05 is required
CD314 is the country where the service is to be performed.",498.0,https://www.stedi.com/edi/x12-004010/segment/CD3
MS1-01,19,City Name,String (AN),Conditional,2.0,30,-,Free-form text for city name,"L010203: If MS1-01 is present, then at least one of MS1-02 or MS1-03 is required
E0104: Only one of MS1-01 or MS1-04 may be present",,https://www.stedi.com/edi/x12-004010/segment/MS1
MS1-02,156,State or Province Code,Identifier (ID),Conditional,2.0,2,-,Code (Standard State/Province) as defined by appropriate government agency,"C0201: If MS1-02 is present, then MS1-01 is required",,https://www.stedi.com/edi/x12-004010/segment/MS1
MS1-03,26,Country Code,Identifier (ID),Conditional,2.0,3,-,Code identifying the country,"C0301: If MS1-03 is present, then MS1-01 is required",498.0,https://www.stedi.com/edi/x12-004010/segment/MS1
