Key,Value,source_file
IDC,Invalid Decline/Amend Reason Code - The Decline/Amend Reason Code (DE548) reported is invalid,DE-647-4010-X12.json
IDN,Invalid Department Number,DE-647-4010-X12.json
IID,Invalid Identification Code,DE-647-4010-X12.json
IMD,Invalid Railcar Type - The Equipment Description Code (DE40) reported is invalid,DE-647-4010-X12.json
INC,Incomplete Transaction - Optional Element(s) required by the application are missing,DE-647-4010-X12.json
INF,Invalid Status Code - The Vehicle Status Code (DE1094) reported is invalid,DE-647-4010-X12.json
IPR,Status Code Previously Reported - The status code reported has previously been processed by the receiver,DE-647-4010-X12.json
IQT,Invalid Quantity,DE-647-4010-X12.json
IWT,Invalid Weight,DE-647-4010-X12.json
J,Missing or Invalid Purpose Code,DE-647-4010-X12.json
K,Missing or Invalid Ownership Code,DE-647-4010-X12.json
L,Missing or Invalid Support Request Code,DE-647-4010-X12.json
LOC,Invalid Damage Area Code - The Damage Area Code (DE556) reported is invalid,DE-647-4010-X12.json
M,Missing or Invalid Supply Condition Code,DE-647-4010-X12.json
MA,Missing or Invalid Store Number,DE-647-4010-X12.json
MB,Missing or Invalid Purchase Order Number,DE-647-4010-X12.json
MBL,Multiple Bills of Lading - Multiple Bills of Lading have been transmitted for a 3 for 2 shipment (only one bill of lading is required),DE-647-4010-X12.json
MC,Missing or Invalid Bill of Lading Number,DE-647-4010-X12.json
MD,Missing or Invalid Invoice Date,DE-647-4010-X12.json
MDN,Missing Department Number,DE-647-4010-X12.json
ME,Missing or Invalid Department Number,DE-647-4010-X12.json
MF,Missing or Invalid Internal Vendor Number,DE-647-4010-X12.json
MG,Missing or Invalid U.P.C. Code,DE-647-4010-X12.json
MH,Missing or Invalid DUNS Number,DE-647-4010-X12.json
MI,Missing or Invalid SCAC,DE-647-4010-X12.json
MID,Missing Identification Code,DE-647-4010-X12.json
MJ,Missing or Invalid Terms,DE-647-4010-X12.json
MK,Missing or Invalid Ship Date Location,DE-647-4010-X12.json
ML,Missing or Invalid Sell to Location,DE-647-4010-X12.json
MM,Missing or Invalid Bill to Location,DE-647-4010-X12.json
MN,Missing or Invalid Unit Cost,DE-647-4010-X12.json
MP,Missing or Invalid Non-merchandise Code,DE-647-4010-X12.json
MQ,Missing or Invalid Non-merchandise Cost,DE-647-4010-X12.json
MQT,Missing Quantity,DE-647-4010-X12.json
MWT,Missing Weight,DE-647-4010-X12.json
N,Missing or Invalid Payer Identification,DE-647-4010-X12.json
NAU,Not Authorized - The move/service reported by the carrier has not been authorized by the shipper,DE-647-4010-X12.json
NCL,No Clearance Authorization - The vessel clearance reported by the carrier has not been authorized by the shipper,DE-647-4010-X12.json
NCR,No Clearance Reported - The freight bill submitted by the carrier precedes the vessel clearance,DE-647-4010-X12.json
NDP,No Departure Reported - The railcar arrival has been received prior to the railcar departure,DE-647-4010-X12.json
NDT,No Termination Date - The move/service/status change reported requires termination of a previously transmitted Vehicle Status Code (DE1094),DE-647-4010-X12.json
NIF,Invalid Status Location - The location reported with the Status Code (DE1094) does not match any move/service locations authorized by the shipper,DE-647-4010-X12.json
NOC,Automated Clearinghouse (ACH) Notification of Change,DE-647-4010-X12.json
NOD,Not on Departure - Vehicle Identification Numbers reported on railcar arrival do not match Vehicle Identification Numbers reported on railcar departure,DE-647-4010-X12.json
NRA,No Railcar Arrival - A subsequent shipper authorized move/service has been reported prior to reported arrival of a railcar,DE-647-4010-X12.json
O,Missing or Invalid Issuer Identification,DE-647-4010-X12.json
OTH,Other - Unspecified application error,DE-647-4010-X12.json
P,Missing or Invalid Item Quantity,DE-647-4010-X12.json
PND,Pending Payment - The freight bill/invoice/waybill has previously been transmitted and is awaiting maturity of credit terms prior to payment,DE-647-4010-X12.json
POI,Purchase Order Number Invalid,DE-647-4010-X12.json
PPD,Previously Paid - The freight bill/invoice/waybill has previously been paid,DE-647-4010-X12.json
PRM,Primary Inspection Not Received - A Motor Vehicle Inspection Details transaction containing a Supplemental Inspection indicator (DE835) has been reported prior to the primary inspection,DE-647-4010-X12.json
Q,Missing or Invalid Item Identification,DE-647-4010-X12.json
QTY,Quantity - The number of items on the freight bill/invoice/waybill does not equal the number of unique segments which specifically identify those items,DE-647-4010-X12.json
R,Missing or Invalid Support Date,DE-647-4010-X12.json
RAT,No Rate Available - The shipper is unable to determine the rate for the move/service reported by the carrier,DE-647-4010-X12.json
RTE,Invalid Shipper's Route Code - The shippers route code reported by the carrier is invalid,DE-647-4010-X12.json
RTN,Automated Clearinghouse (ACH) Return Items,DE-647-4010-X12.json
RU,Rate Unverifiable - Carrier is unable to verify the rate reported by the shipper,DE-647-4010-X12.json
S,Missing or Unauthorized Transportation Mode/Method Code,DE-647-4010-X12.json
SCA,Invalid SCAC - The Standard Carrier Alpha Code (DE140) reported is invalid,DE-647-4010-X12.json
SCD,Invalid Vehicle Service Code - The Vehicle Service Code (DE1062) reported is invalid,DE-647-4010-X12.json
SEV,Invalid Damage Severity Code - The Damage Severity Code (DE541) reported is invalid,DE-647-4010-X12.json
SPL,Invalid SPLC Code - The Standard Point Location Code (DE154) is invalid,DE-647-4010-X12.json
STA,Shipment Picked Up After the Date Specified by the Ship Window,DE-647-4010-X12.json
STP,Shipment Picked Up Prior to the Date Specified by the Ship Window,DE-647-4010-X12.json
STR,Invalid Storage Days Calculation - The number of storage days billed does not equal the difference between arrival date and departure date less grace days,DE-647-4010-X12.json
T,Unauthorized Transaction Set Purpose Code,DE-647-4010-X12.json
TRN,Turnover - The vessel clearance reported was authorized by the consignee rather than by the shipper,DE-647-4010-X12.json
TYP,Invalid Damage Type Code - The Damage Type Code (DE540) reported is invalid,DE-647-4010-X12.json
U,Missing or Unauthorized Transaction Type Code,DE-647-4010-X12.json
UAU,Used Authorization - The move/service reported has previously been reported as completed,DE-647-4010-X12.json
UCN,Unknown Claim Number - The claim number reported by the carrier is unknown to the claimant,DE-647-4010-X12.json
UKN,Unknown Move/Service - The move/service reported has not been mutually defined by the trading partners,DE-647-4010-X12.json
UNP,Invalid Unit Price,DE-647-4010-X12.json
UNV,Unknown Vehicle Identification Number - The reported Vehicle Identification Number (DE539) is unknown to the shipper,DE-647-4010-X12.json
V,Missing or Unauthorized Action Code,DE-647-4010-X12.json
VIN,Invalid Vehicle Identification Number - The reported Vehicle Identification Number (DE53) fails the check digit calculation,DE-647-4010-X12.json
VND,Vehicle Not Departed - Storage charges have been billed prior to reported departure of a vehicle from storage,DE-647-4010-X12.json
VOS,Offsite Storage - Storage charges have been reported for an item known to be at another location,DE-647-4010-X12.json
ZDS,"Zero Storage Days - The arrival and departure dates are equal, per diem storage charges have not accrued",DE-647-4010-X12.json
ZZZ,Mutually Defined - ,DE-647-4010-X12.json
2,Returned to Carrier's Terminal - Delivery attempted by the carrier; shipment was returned to the carrier's terminal,DE-157-4010-X12.json
3,Returned to Shipper - Shipment was returned to the shipper per the instructions of the consignee,DE-157-4010-X12.json
A,Arrived - Shipment has arrived at the location specified,DE-157-4010-X12.json
A1,Agriculture Canada Hold,DE-157-4010-X12.json
A2,Agriculture Canada Released,DE-157-4010-X12.json
A3,Agriculture Canada Refused Entry,DE-157-4010-X12.json
A4,Agriculture Canada Conditional Release,DE-157-4010-X12.json
AA,Pick-up Appointment Date and Time - The date and time of the scheduled pick-up appointment,DE-157-4010-X12.json
AC,Awaiting Clearance,DE-157-4010-X12.json
AD,Delivery Appointment Date and Time - The date and time of the scheduled delivery appointment,DE-157-4010-X12.json
AE,Loaded on Vessel,DE-157-4010-X12.json
AF,Departed Pickup Location - Shipment has been picked up,DE-157-4010-X12.json
AG,Estimated Delivery - Estimated date of delivery to the consignee or receiver,DE-157-4010-X12.json
AH,Attempted Delivery - Delivery of the shipment was attempted by the carrier,DE-157-4010-X12.json
AI,Shipment Has Been Reconsigned - Shipment has been reconsigned per the shipper or consignee,DE-157-4010-X12.json
AJ,Tendered for Delivery - Shipment has been offered for delivery to the consignee,DE-157-4010-X12.json
AL,Loaded on Rail,DE-157-4010-X12.json
AM,Loaded on Truck,DE-157-4010-X12.json
AN,Delivered to Air Carrier - Shipment was delivered to air freight carrier,DE-157-4010-X12.json
AO,Loaded on Barge,DE-157-4010-X12.json
AP,Loaded on Feeder Vessel,DE-157-4010-X12.json
AR,Rail Arrival at Destination Intermodal Ramp,DE-157-4010-X12.json
AV,Available for Delivery - Shipment available for delivery,DE-157-4010-X12.json
AW,Awaiting Export - Shipment in transit,DE-157-4010-X12.json
B,Bad Order (Inoperative or Damaged) - Shipment was on a piece of equipment that failed,DE-157-4010-X12.json
BA,Set Off at Agent,DE-157-4010-X12.json
BC,Storage - in - Transit,DE-157-4010-X12.json
BD,"Recommitted Delivery Date - Delivery date and time of shipment has been revised necessitated by changes in pickup, transit, or delivery conditions not originally assumed by the carrier",DE-157-4010-X12.json
BE,Estimated Time of Arrival at Scheduled Pick-up Location - The carrier's estimate of when the shipment will be picked up at the consignor's location,DE-157-4010-X12.json
BF,Booking Confirmed,DE-157-4010-X12.json
BR,Bill of Lading Released,DE-157-4010-X12.json
C,Estimated To Depart Terminal Location,DE-157-4010-X12.json
C1,Canada Customs Hold,DE-157-4010-X12.json
C2,Canada Customs Inspection Scheduled,DE-157-4010-X12.json
CA,Shipment Cancelled,DE-157-4010-X12.json
CB,Chassis Tie,DE-157-4010-X12.json
CC,Chassis Un-Tie,DE-157-4010-X12.json
CD,Received at Origin,DE-157-4010-X12.json
CI,Passing,DE-157-4010-X12.json
CO,Cargo Received at Contractual Place of Receipt,DE-157-4010-X12.json
CR,Carrier Release,DE-157-4010-X12.json
CS,Container Sealed,DE-157-4010-X12.json
CT,Customs Released,DE-157-4010-X12.json
CU,Carrier and Customs Release,DE-157-4010-X12.json
CV,Container Rehandled,DE-157-4010-X12.json
D,Completed Unloading at Delivery Location - Shipment was delivered to the consignee or receiver,DE-157-4010-X12.json
DA,Repair Authorization Requested,DE-157-4010-X12.json
DC,Unit Cleaned,DE-157-4010-X12.json
DN,Delivery Not Confirmed,DE-157-4010-X12.json
DP,Unit Pre-Tripped,DE-157-4010-X12.json
DR,Repair Authorization Received,DE-157-4010-X12.json
DS,Damage Survey Requested,DE-157-4010-X12.json
DT,Damage Survey Completed,DE-157-4010-X12.json
E,Estimated to Arrive (En Route) - Shipment is estimated to arrive at the location specified ,DE-157-4010-X12.json
EA,Estimate Approved,DE-157-4010-X12.json
ED,Early Delivery Appointment Date and/or Time,DE-157-4010-X12.json
EE,Empty Equipment Dispatched - Empty equipment dispatched to pick up cargo,DE-157-4010-X12.json
EI,Interchange Information Received - Interchange of intermodal equipment to another carrier,DE-157-4010-X12.json
EP,Early Pickup Appointment Date and/or Time,DE-157-4010-X12.json
ER,Estimate Received,DE-157-4010-X12.json
F,In Flight,DE-157-4010-X12.json
FP,Freight Paid,DE-157-4010-X12.json
FT,Free Time Expired,DE-157-4010-X12.json
G,Repaired and/or Released from Bad Order,DE-157-4010-X12.json
GI,Terminal Gate Inspection,DE-157-4010-X12.json
GO,General Order,DE-157-4010-X12.json
H,Equipment Shopped for Heavy Repair - Shipment is delayed due to equipment failure,DE-157-4010-X12.json
HA,Held - Protective Service,DE-157-4010-X12.json
HE,Held-Awaiting Shipper's Export Document,DE-157-4010-X12.json
HF,Held-Awaiting Recount/Weight/Description,DE-157-4010-X12.json
HG,Held on Ground,DE-157-4010-X12.json
HH,Held-No Booking Number,DE-157-4010-X12.json
HI,Held-Title Clearance,DE-157-4010-X12.json
HR,"Hold Released - Equivalent to Automated Manifest System (AMS) disposition codes 1F, 74, 76, 80, 81 and 82",DE-157-4010-X12.json
I,In-Gate,DE-157-4010-X12.json
IB,"U.S. Customs, In-bond Movement Authorized - Equivalent to Automated Manifest System (AMS) disposition codes 1D, 1J",DE-157-4010-X12.json
IR,Movement Type Changed from In-bond to Not In-bond,DE-157-4010-X12.json
J,Delivered to Connecting Line - Shipment has been delivered to an interline carrier,DE-157-4010-X12.json
K,Arrived at Customs - Customs delay; shipment is being processed at the customs location,DE-157-4010-X12.json
L,Loading - Shipment is being loaded at a carrier's terminal or facility,DE-157-4010-X12.json
LD,Late Delivery Appointment Date and/or Time,DE-157-4010-X12.json
LP,Late Pickup Appointment Date and/or Time,DE-157-4010-X12.json
MT,Empty Committed,DE-157-4010-X12.json
N,No Paperwork Received with Shipment or Equipment,DE-157-4010-X12.json
NC,Confirmation of Notification - Advisement of notified party at destination has acknowledged receipt of notification,DE-157-4010-X12.json
ND,Technical Charges Due,DE-157-4010-X12.json
NF,Free Time to Expire,DE-157-4010-X12.json
NH,No Hazardous Material Document Received,DE-157-4010-X12.json
NO,Ocean Charges Paid,DE-157-4010-X12.json
NP,Terminal Charges Paid,DE-157-4010-X12.json
NR,Shipment Information Not Received,DE-157-4010-X12.json
NS,No Seal on Load,DE-157-4010-X12.json
NT,Notification,DE-157-4010-X12.json
NU,Notification Refused - Notify party at destination has refused notification,DE-157-4010-X12.json
O,Paperwork Received- Did Not Receive Shipment or Equipment,DE-157-4010-X12.json
OA,Out-Gate,DE-157-4010-X12.json
OB,Original Bill of Lading Received,DE-157-4010-X12.json
OF,Off-Hire Container,DE-157-4010-X12.json
OH,On Hand,DE-157-4010-X12.json
ON,On-Hire Container,DE-157-4010-X12.json
P,Departed Terminal Location - Shipment has left the carrier's terminal or other control point,DE-157-4010-X12.json
PA,"US Custom Hold, Intensive Examination",DE-157-4010-X12.json
PB,"US Custom Hold, Insufficient Paperwork",DE-157-4010-X12.json
PC,"US Custom Hold, Discrepancy in Paperwork",DE-157-4010-X12.json
PD,"US Custom Hold, Discrepancy in Piece Count",DE-157-4010-X12.json
PE,"US Custom Hold, Hold by Coast Guard",DE-157-4010-X12.json
PF,"US Custom Hold, Hold by F.B.I.",DE-157-4010-X12.json
PG,"US Custom Hold, Hold by Local Law Enforcement",DE-157-4010-X12.json
PH,"US Custom Hold, Hold by Court Imposed Lien",DE-157-4010-X12.json
PI,"US Custom Hold, Hold by Food and Drug",DE-157-4010-X12.json
PJ,"US Custom Hold, Hold by Fish and Wildlife",DE-157-4010-X12.json
PK,"US Custom Hold, Hold by Drug Enforcement",DE-157-4010-X12.json
PL,"US Dept. Agr, Hold for Intensive Investigation",DE-157-4010-X12.json
PM,"US Dept. Agr, Hold for Unregistered Producer",DE-157-4010-X12.json
PN,"US Dept. Agr, Hold for Restricted Commodity",DE-157-4010-X12.json
PO,"US Dept. Agr, Hold for Insect Infestation",DE-157-4010-X12.json
PP,"US Dept. Agr, Hold for Bacterial Contamination",DE-157-4010-X12.json
PQ,U.S. Customs Hold at Place of Vessel Arrival - U.S. Customs has placed a hold on cargo at the place of arrival,DE-157-4010-X12.json
PR,U.S. Customs Hold at In-Bond Destination - U.S. Customs has placed a hold on cargo at the in-bond destination,DE-157-4010-X12.json
PS,U.S. Department of Agriculture Hold at Place of Vessel Arrival - U.S. Department of Agriculture has placed a hold on cargo at the place of arrival,DE-157-4010-X12.json
PT,U.S. Department of Agriculture Hold at In-Bond Destination - U.S. Department of Agriculture has placed a hold on cargo at the in-bond destination,DE-157-4010-X12.json
PU,Other U.S. Agency Hold at Place of Vessel Arrival - A government agency other than U.S. Customs or the U.S. Department of Agriculture has placed a hold on cargo at the place of arrival,DE-157-4010-X12.json
PV,Other U.S. Agency Hold at In-Bond Destination - A government agency other than U.S. Customs or the U.S. Department of Agriculture has placed a hold on cargo at the in-bond destination,DE-157-4010-X12.json
PW,"U.S. Department of Agriculture, Hold for Fumigation - Equivalent to Automated Manifest System (AMS) disposition codes 73, 79",DE-157-4010-X12.json
PX,"U.S. Department of Agriculture, Hold for Inspection or Documentation Review - Equivalent to Automated Manifest System (AMS) disposition codes 72, 78",DE-157-4010-X12.json
R,Received from Prior Carrier - Shipment has been received from an interline carrier,DE-157-4010-X12.json
RA,Pickup Appointment Requested - Appointment for pickup has been requested,DE-157-4010-X12.json
RB,Delivery Appointment Requested,DE-157-4010-X12.json
RC,Reserve Container Against Booking,DE-157-4010-X12.json
RD,Return Container,DE-157-4010-X12.json
RI,Movement Type Changed from Not In-bond to In-bond,DE-157-4010-X12.json
RL,Rail Departure from Origin Intermodal Ramp,DE-157-4010-X12.json
RN,Renotification - Notify party at destination has been renotified,DE-157-4010-X12.json
S,Spotted at Consignee's Location - Shipment in a trailer has been spotted at the consignee or receiver's premises ,DE-157-4010-X12.json
SA,Shipment Split,DE-157-4010-X12.json
SB,Shipment Consolidation,DE-157-4010-X12.json
SC,Seals Altered,DE-157-4010-X12.json
SD,Shipment Delayed,DE-157-4010-X12.json
SI,Receipt of Shipping Instructions - Shipping instructions received,DE-157-4010-X12.json
SN,Shipment Not Authorized,DE-157-4010-X12.json
T,At Terminal; Intra-Terminal Movement,DE-157-4010-X12.json
TC,Held for Terminal Charges,DE-157-4010-X12.json
TM,Intra-Terminal Movement,DE-157-4010-X12.json
TO,Terminate to Owner - Equipment returned,DE-157-4010-X12.json
U,Unloading - Shipment being unloaded,DE-157-4010-X12.json
UA,Unit - Leased to Connecting Line,DE-157-4010-X12.json
UB,Unit - Returned from Connecting Line,DE-157-4010-X12.json
UC,Unit - Shopped Held at Terminal,DE-157-4010-X12.json
UD,Unit - COFC/TOFC Service,DE-157-4010-X12.json
UE,Unit - Pickup/Delivery Service,DE-157-4010-X12.json
UP,Unable to Process Shipment,DE-157-4010-X12.json
UR,Unloaded from a Rail Car,DE-157-4010-X12.json
UV,Unloaded From Vessel,DE-157-4010-X12.json
UW,Intermodal Unit Weighed,DE-157-4010-X12.json
V,Vessel Rehandle,DE-157-4010-X12.json
VA,Vessel Arrival - Vessel scheduled to arrive or has arrived,DE-157-4010-X12.json
VD,Vessel Departure - Vessel scheduled to depart or has departed,DE-157-4010-X12.json
W,Released by Customer,DE-157-4010-X12.json
WH,Weight Too Heavy - Highway,DE-157-4010-X12.json
WR,Weight Too Heavy - Rail,DE-157-4010-X12.json
X,Removed from Customer Dock or Siding,DE-157-4010-X12.json
X1,Arrived at Delivery Location - The carrier has arrived at the shipment delivery location,DE-157-4010-X12.json
X2,Estimated Time of Arrival at Consignee Location,DE-157-4010-X12.json
X3,Arrived at Pick-up Location,DE-157-4010-X12.json
X4,Arrived at Terminal Location,DE-157-4010-X12.json
X5,Arrived at Delivery Location Loading Dock,DE-157-4010-X12.json
X6,En Route to Delivery Location,DE-157-4010-X12.json
X7,En Route to Pick-up Location,DE-157-4010-X12.json
X8,Arrived at Pick-up Location Loading Dock - The carrier has arrived at the loading dock at the pick-up location,DE-157-4010-X12.json
X9,Delivery Appointment Secured - The date and time that the delivery appointment was made,DE-157-4010-X12.json
XA,Pick-up Appointment Secured - The date and time that the pick-up appointment was made,DE-157-4010-X12.json
XB,"Shipment Acknowledged - Shipment has been accepted by the carrier, but awaiting pick-up and/or delivery appointment(s) before dispatching equipment for pick-up",DE-157-4010-X12.json
Y,Constructively Placed,DE-157-4010-X12.json
Z,Actually Placed,DE-157-4010-X12.json
ZZ,Mutually Defined - ,DE-157-4010-X12.json
1,Used to Initiate This Report,DE-704-4010-X12.json
2,Report to be Filed,DE-704-4010-X12.json
3,"Complete - Use the information provided, add additional required data, distribute as indicated",DE-704-4010-X12.json
4,Notarize - Have notarized prior to distribution,DE-704-4010-X12.json
5,Generate,DE-704-4010-X12.json
6,Letterhead Required,DE-704-4010-X12.json
CH,Chamberize,DE-704-4010-X12.json
CO,Consularize,DE-704-4010-X12.json
DM,Document is Missing,DE-704-4010-X12.json
NT,Generate in Language of Ultimate Destination,DE-704-4010-X12.json
ON,Original Not Required (Copies Acceptable),DE-704-4010-X12.json
OR,Original Required,DE-704-4010-X12.json
PV,Provided,DE-704-4010-X12.json
SG,Sign (Power of Attorney) - ,DE-704-4010-X12.json
A,Allowance,DE-248-4010-X12.json
C,Charge,DE-248-4010-X12.json
N,No Allowance or Charge,DE-248-4010-X12.json
P,Promotion,DE-248-4010-X12.json
Q,Charge Request,DE-248-4010-X12.json
R,Allowance Request,DE-248-4010-X12.json
S,Service - ,DE-248-4010-X12.json
AR,Admission Review,DE-1525-4010-X12.json
BA,Batch,DE-1525-4010-X12.json
HS,Health Services Review,DE-1525-4010-X12.json
IN,Individual,DE-1525-4010-X12.json
PR,Program Referral,DE-1525-4010-X12.json
RE,Recurring,DE-1525-4010-X12.json
SC,Specialty Care Review - ,DE-1525-4010-X12.json
9A,Authentication,DE-797-4010-X12.json
9E,Authentication and Encryption,DE-797-4010-X12.json
9N,Encryption,DE-797-4010-X12.json
OC,Clear Text,DE-797-4010-X12.json
ZZ,Mutually Defined - ,DE-797-4010-X12.json
01,Actual Pounds,DE-355-4010-X12.json
1A,Car Mile - One freight car moving one mile,DE-355-4010-X12.json
1B,Car Count - The number of freight cars moving over a specified track,DE-355-4010-X12.json
1C,Locomotive Count - The number of locomotives moved over a specified track,DE-355-4010-X12.json
1D,Caboose Count - The number of cabooses moved over a specified track,DE-355-4010-X12.json
1E,Empty Car - Unloaded or empty cars moving over a specified track,DE-355-4010-X12.json
1F,Train Mile - The first locomotive in a train moving one mile,DE-355-4010-X12.json
1G,Fuel Usage (Gallons) - The number of gallons of diesel fuel used to move a train or all trains over specified trackage,DE-355-4010-X12.json
1H,Caboose Mile - One caboose moving one mile,DE-355-4010-X12.json
1I,Fixed Rate - Indicates a predetermined or set rate for usage of a facility,DE-355-4010-X12.json
1J,Ton Miles - Tons of freight multiplied by the number of times moved; includes non-revenue freight such as material used to maintain trackage and right-of-way,DE-355-4010-X12.json
1K,Locomotive Mile - One locomotive moving one mile,DE-355-4010-X12.json
1L,"Total Car Count - The sum of cars, locomotives, and cabooses moving over a specified track; the conversion rate for locomotives and cabooses is set by contract",DE-355-4010-X12.json
1M,"Total Car Mile - The sum of car miles, locomotive miles, and caboose miles moved over a specified track; the conversion rate for locomotives and cabooses is set by contract",DE-355-4010-X12.json
1N,Count,DE-355-4010-X12.json
1O,Season,DE-355-4010-X12.json
1P,Tank Car,DE-355-4010-X12.json
1Q,Frames,DE-355-4010-X12.json
1R,Transactions,DE-355-4010-X12.json
1X,Quarter Mile,DE-355-4010-X12.json
02,Statute Mile,DE-355-4010-X12.json
2A,Radians Per Second - Measure of angular velocity,DE-355-4010-X12.json
2B,Radians Per Second Squared - Measure of angular acceleration,DE-355-4010-X12.json
2C,Roentgen - Unit of X-radiation or gamma radiation equal to the amount of radiation that produces in one cubic centimeter of dry air at 0 degrees Celsius and standard atmospheric pressure ionization of either sign equal to one electrostatic unit of charge,DE-355-4010-X12.json
